,target
33887,>50K.
33888,<=50K.
33889,<=50K.
33890,>50K.
33891,>50K.
33892,<=50K.
33893,<=50K.
33894,<=50K.
33895,<=50K.
33896,>50K.
33897,>50K.
33898,>50K.
33899,<=50K.
33900,<=50K.
33901,<=50K.
33902,>50K.
33903,<=50K.
33904,<=50K.
33905,<=50K.
33906,<=50K.
33907,<=50K.
33908,>50K.
33909,<=50K.
33910,<=50K.
33911,<=50K.
33912,>50K.
33913,<=50K.
33914,<=50K.
33915,>50K.
33916,<=50K.
33917,<=50K.
33918,>50K.
33919,<=50K.
33920,<=50K.
33921,<=50K.
33922,>50K.
33923,<=50K.
33924,<=50K.
33925,<=50K.
33926,>50K.
33927,<=50K.
33928,<=50K.
33929,>50K.
33930,>50K.
33931,<=50K.
33932,<=50K.
33933,<=50K.
33934,<=50K.
33935,>50K.
33936,>50K.
33937,<=50K.
33938,<=50K.
33939,<=50K.
33940,<=50K.
33941,<=50K.
33942,<=50K.
33943,<=50K.
33944,<=50K.
33945,<=50K.
33946,<=50K.
33947,<=50K.
33948,>50K.
33949,<=50K.
33950,<=50K.
33951,<=50K.
33952,>50K.
33953,>50K.
33954,<=50K.
33955,>50K.
33956,<=50K.
33957,>50K.
33958,<=50K.
33959,>50K.
33960,<=50K.
33961,<=50K.
33962,<=50K.
33963,<=50K.
33964,<=50K.
33965,<=50K.
33966,<=50K.
33967,>50K.
33968,<=50K.
33969,<=50K.
33970,<=50K.
33971,<=50K.
33972,<=50K.
33973,<=50K.
33974,<=50K.
33975,<=50K.
33976,<=50K.
33977,>50K.
33978,<=50K.
33979,<=50K.
33980,<=50K.
33981,<=50K.
33982,<=50K.
33983,<=50K.
33984,<=50K.
33985,>50K.
33986,<=50K.
33987,<=50K.
33988,<=50K.
33989,>50K.
33990,<=50K.
33991,>50K.
33992,<=50K.
33993,<=50K.
33994,<=50K.
33995,>50K.
33996,<=50K.
33997,>50K.
33998,>50K.
33999,<=50K.
34000,<=50K.
34001,<=50K.
34002,<=50K.
34003,<=50K.
34004,<=50K.
34005,<=50K.
34006,<=50K.
34007,<=50K.
34008,<=50K.
34009,>50K.
34010,<=50K.
34011,<=50K.
34012,<=50K.
34013,>50K.
34014,<=50K.
34015,<=50K.
34016,<=50K.
34017,>50K.
34018,>50K.
34019,>50K.
34020,<=50K.
34021,>50K.
34022,<=50K.
34023,<=50K.
34024,>50K.
34025,<=50K.
34026,<=50K.
34027,<=50K.
34028,<=50K.
34029,<=50K.
34030,<=50K.
34031,>50K.
34032,<=50K.
34033,<=50K.
34034,<=50K.
34035,<=50K.
34036,<=50K.
34037,<=50K.
34038,<=50K.
34039,<=50K.
34040,<=50K.
34041,>50K.
34042,<=50K.
34043,<=50K.
34044,<=50K.
34045,<=50K.
34046,<=50K.
34047,<=50K.
34048,>50K.
34049,<=50K.
34050,<=50K.
34051,<=50K.
34052,<=50K.
34053,<=50K.
34054,<=50K.
34055,<=50K.
34056,<=50K.
34057,>50K.
34058,>50K.
34059,<=50K.
34060,<=50K.
34061,>50K.
34062,<=50K.
34063,<=50K.
34064,>50K.
34065,<=50K.
34066,>50K.
34067,>50K.
34068,<=50K.
34069,<=50K.
34070,<=50K.
34071,<=50K.
34072,<=50K.
34073,<=50K.
34074,>50K.
34075,<=50K.
34076,<=50K.
34077,<=50K.
34078,<=50K.
34079,<=50K.
34080,<=50K.
34081,<=50K.
34082,<=50K.
34083,>50K.
34084,<=50K.
34085,<=50K.
34086,<=50K.
34087,<=50K.
34088,<=50K.
34089,>50K.
34090,<=50K.
34091,<=50K.
34092,<=50K.
34093,<=50K.
34094,<=50K.
34095,<=50K.
34096,<=50K.
34097,<=50K.
34098,<=50K.
34099,<=50K.
34100,<=50K.
34101,<=50K.
34102,<=50K.
34103,<=50K.
34104,<=50K.
34105,>50K.
34106,<=50K.
34107,<=50K.
34108,<=50K.
34109,>50K.
34110,<=50K.
34111,<=50K.
34112,<=50K.
34113,<=50K.
34114,<=50K.
34115,<=50K.
34116,>50K.
34117,<=50K.
34118,<=50K.
34119,<=50K.
34120,>50K.
34121,<=50K.
34122,>50K.
34123,>50K.
34124,>50K.
34125,<=50K.
34126,<=50K.
34127,<=50K.
34128,<=50K.
34129,>50K.
34130,<=50K.
34131,>50K.
34132,<=50K.
34133,<=50K.
34134,<=50K.
34135,<=50K.
34136,>50K.
34137,<=50K.
34138,<=50K.
34139,<=50K.
34140,<=50K.
34141,<=50K.
34142,<=50K.
34143,>50K.
34144,>50K.
34145,<=50K.
34146,<=50K.
34147,<=50K.
34148,<=50K.
34149,<=50K.
34150,<=50K.
34151,<=50K.
34152,<=50K.
34153,<=50K.
34154,<=50K.
34155,>50K.
34156,<=50K.
34157,>50K.
34158,>50K.
34159,<=50K.
34160,>50K.
34161,<=50K.
34162,>50K.
34163,<=50K.
34164,<=50K.
34165,<=50K.
34166,<=50K.
34167,<=50K.
34168,<=50K.
34169,<=50K.
34170,>50K.
34171,>50K.
34172,<=50K.
34173,<=50K.
34174,<=50K.
34175,<=50K.
34176,<=50K.
34177,<=50K.
34178,>50K.
34179,<=50K.
34180,>50K.
34181,<=50K.
34182,>50K.
34183,>50K.
34184,<=50K.
34185,<=50K.
34186,<=50K.
34187,<=50K.
34188,<=50K.
34189,<=50K.
34190,<=50K.
34191,<=50K.
34192,<=50K.
34193,<=50K.
34194,<=50K.
34195,<=50K.
34196,<=50K.
34197,>50K.
34198,<=50K.
34199,>50K.
34200,<=50K.
34201,<=50K.
34202,<=50K.
34203,<=50K.
34204,<=50K.
34205,<=50K.
34206,<=50K.
34207,<=50K.
34208,<=50K.
34209,<=50K.
34210,>50K.
34211,<=50K.
34212,<=50K.
34213,<=50K.
34214,<=50K.
34215,>50K.
34216,<=50K.
34217,>50K.
34218,>50K.
34219,<=50K.
34220,>50K.
34221,<=50K.
34222,>50K.
34223,>50K.
34224,<=50K.
34225,<=50K.
34226,>50K.
34227,<=50K.
34228,<=50K.
34229,<=50K.
34230,<=50K.
34231,>50K.
34232,<=50K.
34233,<=50K.
34234,<=50K.
34235,<=50K.
34236,<=50K.
34237,<=50K.
34238,<=50K.
34239,<=50K.
34240,<=50K.
34241,<=50K.
34242,<=50K.
34243,<=50K.
34244,>50K.
34245,<=50K.
34246,<=50K.
34247,>50K.
34248,<=50K.
34249,<=50K.
34250,<=50K.
34251,<=50K.
34252,<=50K.
34253,<=50K.
34254,<=50K.
34255,>50K.
34256,<=50K.
34257,<=50K.
34258,<=50K.
34259,<=50K.
34260,>50K.
34261,<=50K.
34262,>50K.
34263,<=50K.
34264,<=50K.
34265,>50K.
34266,<=50K.
34267,<=50K.
34268,<=50K.
34269,<=50K.
34270,<=50K.
34271,<=50K.
34272,<=50K.
34273,<=50K.
34274,>50K.
34275,<=50K.
34276,>50K.
34277,>50K.
34278,<=50K.
34279,<=50K.
34280,<=50K.
34281,<=50K.
34282,<=50K.
34283,<=50K.
34284,<=50K.
34285,<=50K.
34286,<=50K.
34287,<=50K.
34288,<=50K.
34289,<=50K.
34290,<=50K.
34291,<=50K.
34292,<=50K.
34293,<=50K.
34294,<=50K.
34295,<=50K.
34296,<=50K.
34297,>50K.
34298,>50K.
34299,<=50K.
34300,>50K.
34301,>50K.
34302,<=50K.
34303,<=50K.
34304,<=50K.
34305,<=50K.
34306,<=50K.
34307,<=50K.
34308,<=50K.
34309,<=50K.
34310,<=50K.
34311,<=50K.
34312,>50K.
34313,<=50K.
34314,>50K.
34315,<=50K.
34316,>50K.
34317,<=50K.
34318,<=50K.
34319,<=50K.
34320,<=50K.
34321,<=50K.
34322,<=50K.
34323,<=50K.
34324,>50K.
34325,<=50K.
34326,<=50K.
34327,<=50K.
34328,<=50K.
34329,>50K.
34330,<=50K.
34331,>50K.
34332,<=50K.
34333,<=50K.
34334,<=50K.
34335,<=50K.
34336,<=50K.
34337,>50K.
34338,<=50K.
34339,<=50K.
34340,<=50K.
34341,<=50K.
34342,<=50K.
34343,<=50K.
34344,<=50K.
34345,>50K.
34346,<=50K.
34347,<=50K.
34348,<=50K.
34349,>50K.
34350,<=50K.
34351,<=50K.
34352,<=50K.
34353,<=50K.
34354,<=50K.
34355,>50K.
34356,<=50K.
34357,<=50K.
34358,<=50K.
34359,<=50K.
34360,<=50K.
34361,<=50K.
34362,>50K.
34363,<=50K.
34364,<=50K.
34365,<=50K.
34366,<=50K.
34367,<=50K.
34368,<=50K.
34369,<=50K.
34370,>50K.
34371,<=50K.
34372,<=50K.
34373,>50K.
34374,<=50K.
34375,<=50K.
34376,<=50K.
34377,<=50K.
34378,<=50K.
34379,<=50K.
34380,<=50K.
34381,<=50K.
34382,>50K.
34383,<=50K.
34384,<=50K.
34385,<=50K.
34386,>50K.
34387,<=50K.
34388,>50K.
34389,<=50K.
34390,<=50K.
34391,<=50K.
34392,<=50K.
34393,<=50K.
34394,>50K.
34395,<=50K.
34396,<=50K.
34397,<=50K.
34398,<=50K.
34399,>50K.
34400,<=50K.
34401,<=50K.
34402,<=50K.
34403,<=50K.
34404,<=50K.
34405,>50K.
34406,<=50K.
34407,<=50K.
34408,<=50K.
34409,<=50K.
34410,<=50K.
34411,>50K.
34412,<=50K.
34413,>50K.
34414,<=50K.
34415,<=50K.
34416,>50K.
34417,<=50K.
34418,>50K.
34419,>50K.
34420,<=50K.
34421,<=50K.
34422,<=50K.
34423,<=50K.
34424,<=50K.
34425,<=50K.
34426,>50K.
34427,<=50K.
34428,>50K.
34429,<=50K.
34430,>50K.
34431,<=50K.
34432,<=50K.
34433,<=50K.
34434,<=50K.
34435,<=50K.
34436,<=50K.
34437,<=50K.
34438,<=50K.
34439,>50K.
34440,<=50K.
34441,<=50K.
34442,<=50K.
34443,<=50K.
34444,<=50K.
34445,<=50K.
34446,>50K.
34447,<=50K.
34448,<=50K.
34449,>50K.
34450,<=50K.
34451,<=50K.
34452,<=50K.
34453,>50K.
34454,<=50K.
34455,<=50K.
34456,<=50K.
34457,<=50K.
34458,<=50K.
34459,<=50K.
34460,>50K.
34461,<=50K.
34462,<=50K.
34463,<=50K.
34464,<=50K.
34465,<=50K.
34466,<=50K.
34467,>50K.
34468,<=50K.
34469,>50K.
34470,<=50K.
34471,>50K.
34472,<=50K.
34473,<=50K.
34474,>50K.
34475,<=50K.
34476,<=50K.
34477,>50K.
34478,<=50K.
34479,<=50K.
34480,<=50K.
34481,<=50K.
34482,<=50K.
34483,<=50K.
34484,<=50K.
34485,>50K.
34486,>50K.
34487,>50K.
34488,<=50K.
34489,<=50K.
34490,>50K.
34491,<=50K.
34492,<=50K.
34493,<=50K.
34494,>50K.
34495,<=50K.
34496,<=50K.
34497,<=50K.
34498,<=50K.
34499,<=50K.
34500,<=50K.
34501,<=50K.
34502,<=50K.
34503,<=50K.
34504,<=50K.
34505,<=50K.
34506,<=50K.
34507,<=50K.
34508,<=50K.
34509,<=50K.
34510,<=50K.
34511,>50K.
34512,>50K.
34513,<=50K.
34514,<=50K.
34515,>50K.
34516,<=50K.
34517,<=50K.
34518,<=50K.
34519,<=50K.
34520,<=50K.
34521,<=50K.
34522,<=50K.
34523,<=50K.
34524,<=50K.
34525,<=50K.
34526,>50K.
34527,>50K.
34528,<=50K.
34529,>50K.
34530,<=50K.
34531,<=50K.
34532,>50K.
34533,<=50K.
34534,<=50K.
34535,<=50K.
34536,<=50K.
34537,<=50K.
34538,<=50K.
34539,<=50K.
34540,<=50K.
34541,>50K.
34542,<=50K.
34543,<=50K.
34544,<=50K.
34545,<=50K.
34546,<=50K.
34547,<=50K.
34548,<=50K.
34549,<=50K.
34550,>50K.
34551,<=50K.
34552,<=50K.
34553,<=50K.
34554,<=50K.
34555,<=50K.
34556,<=50K.
34557,<=50K.
34558,<=50K.
34559,<=50K.
34560,<=50K.
34561,<=50K.
34562,<=50K.
34563,<=50K.
34564,<=50K.
34565,<=50K.
34566,<=50K.
34567,<=50K.
34568,<=50K.
34569,<=50K.
34570,>50K.
34571,<=50K.
34572,<=50K.
34573,<=50K.
34574,<=50K.
34575,<=50K.
34576,>50K.
34577,>50K.
34578,<=50K.
34579,<=50K.
34580,>50K.
34581,<=50K.
34582,<=50K.
34583,>50K.
34584,>50K.
34585,>50K.
34586,<=50K.
34587,<=50K.
34588,>50K.
34589,<=50K.
34590,<=50K.
34591,>50K.
34592,<=50K.
34593,<=50K.
34594,<=50K.
34595,<=50K.
34596,<=50K.
34597,<=50K.
34598,<=50K.
34599,<=50K.
34600,<=50K.
34601,<=50K.
34602,<=50K.
34603,>50K.
34604,>50K.
34605,<=50K.
34606,<=50K.
34607,<=50K.
34608,>50K.
34609,<=50K.
34610,<=50K.
34611,<=50K.
34612,<=50K.
34613,<=50K.
34614,>50K.
34615,<=50K.
34616,<=50K.
34617,<=50K.
34618,<=50K.
34619,<=50K.
34620,<=50K.
34621,<=50K.
34622,<=50K.
34623,<=50K.
34624,<=50K.
34625,<=50K.
34626,>50K.
34627,<=50K.
34628,<=50K.
34629,<=50K.
34630,>50K.
34631,>50K.
34632,<=50K.
34633,<=50K.
34634,<=50K.
34635,>50K.
34636,>50K.
34637,<=50K.
34638,>50K.
34639,>50K.
34640,<=50K.
34641,<=50K.
34642,>50K.
34643,>50K.
34644,<=50K.
34645,<=50K.
34646,<=50K.
34647,<=50K.
34648,>50K.
34649,>50K.
34650,<=50K.
34651,>50K.
34652,<=50K.
34653,<=50K.
34654,<=50K.
34655,>50K.
34656,<=50K.
34657,<=50K.
34658,>50K.
34659,<=50K.
34660,>50K.
34661,>50K.
34662,<=50K.
34663,>50K.
34664,>50K.
34665,<=50K.
34666,<=50K.
34667,<=50K.
34668,<=50K.
34669,<=50K.
34670,<=50K.
34671,<=50K.
34672,>50K.
34673,<=50K.
34674,>50K.
34675,>50K.
34676,<=50K.
34677,<=50K.
34678,<=50K.
34679,<=50K.
34680,<=50K.
34681,>50K.
34682,>50K.
34683,>50K.
34684,<=50K.
34685,<=50K.
34686,<=50K.
34687,<=50K.
34688,>50K.
34689,>50K.
34690,>50K.
34691,<=50K.
34692,<=50K.
34693,<=50K.
34694,<=50K.
34695,<=50K.
34696,<=50K.
34697,>50K.
34698,<=50K.
34699,<=50K.
34700,<=50K.
34701,<=50K.
34702,<=50K.
34703,<=50K.
34704,<=50K.
34705,<=50K.
34706,>50K.
34707,>50K.
34708,<=50K.
34709,>50K.
34710,<=50K.
34711,<=50K.
34712,<=50K.
34713,>50K.
34714,>50K.
34715,<=50K.
34716,<=50K.
34717,<=50K.
34718,>50K.
34719,<=50K.
34720,<=50K.
34721,>50K.
34722,>50K.
34723,<=50K.
34724,<=50K.
34725,<=50K.
34726,>50K.
34727,>50K.
34728,>50K.
34729,<=50K.
34730,<=50K.
34731,>50K.
34732,<=50K.
34733,>50K.
34734,<=50K.
34735,>50K.
34736,<=50K.
34737,<=50K.
34738,>50K.
34739,<=50K.
34740,<=50K.
34741,<=50K.
34742,<=50K.
34743,<=50K.
34744,<=50K.
34745,<=50K.
34746,<=50K.
34747,<=50K.
34748,<=50K.
34749,<=50K.
34750,<=50K.
34751,<=50K.
34752,<=50K.
34753,<=50K.
34754,<=50K.
34755,>50K.
34756,<=50K.
34757,<=50K.
34758,<=50K.
34759,<=50K.
34760,<=50K.
34761,>50K.
34762,>50K.
34763,<=50K.
34764,<=50K.
34765,<=50K.
34766,<=50K.
34767,<=50K.
34768,<=50K.
34769,>50K.
34770,<=50K.
34771,>50K.
34772,<=50K.
34773,<=50K.
34774,>50K.
34775,<=50K.
34776,<=50K.
34777,>50K.
34778,>50K.
34779,<=50K.
34780,>50K.
34781,>50K.
34782,<=50K.
34783,<=50K.
34784,<=50K.
34785,>50K.
34786,<=50K.
34787,>50K.
34788,<=50K.
34789,<=50K.
34790,<=50K.
34791,>50K.
34792,<=50K.
34793,<=50K.
34794,>50K.
34795,<=50K.
34796,<=50K.
34797,<=50K.
34798,<=50K.
34799,<=50K.
34800,<=50K.
34801,>50K.
34802,<=50K.
34803,>50K.
34804,>50K.
34805,<=50K.
34806,<=50K.
34807,<=50K.
34808,<=50K.
34809,<=50K.
34810,<=50K.
34811,<=50K.
34812,<=50K.
34813,<=50K.
34814,>50K.
34815,<=50K.
34816,<=50K.
34817,<=50K.
34818,>50K.
34819,>50K.
34820,<=50K.
34821,<=50K.
34822,>50K.
34823,<=50K.
34824,<=50K.
34825,<=50K.
34826,<=50K.
34827,>50K.
34828,<=50K.
34829,<=50K.
34830,<=50K.
34831,<=50K.
34832,>50K.
34833,>50K.
34834,<=50K.
34835,>50K.
34836,<=50K.
34837,<=50K.
34838,<=50K.
34839,<=50K.
34840,<=50K.
34841,<=50K.
34842,>50K.
34843,<=50K.
34844,<=50K.
34845,<=50K.
34846,<=50K.
34847,<=50K.
34848,<=50K.
34849,<=50K.
34850,>50K.
34851,<=50K.
34852,<=50K.
34853,>50K.
34854,>50K.
34855,>50K.
34856,>50K.
34857,<=50K.
34858,<=50K.
34859,<=50K.
34860,<=50K.
34861,>50K.
34862,<=50K.
34863,<=50K.
34864,<=50K.
34865,>50K.
34866,>50K.
34867,<=50K.
34868,<=50K.
34869,<=50K.
34870,<=50K.
34871,<=50K.
34872,<=50K.
34873,<=50K.
34874,<=50K.
34875,<=50K.
34876,<=50K.
34877,<=50K.
34878,<=50K.
34879,<=50K.
34880,<=50K.
34881,<=50K.
34882,<=50K.
34883,<=50K.
34884,>50K.
34885,<=50K.
34886,<=50K.
34887,<=50K.
34888,>50K.
34889,<=50K.
34890,<=50K.
34891,<=50K.
34892,<=50K.
34893,>50K.
34894,<=50K.
34895,<=50K.
34896,<=50K.
34897,<=50K.
34898,<=50K.
34899,<=50K.
34900,<=50K.
34901,<=50K.
34902,>50K.
34903,<=50K.
34904,<=50K.
34905,>50K.
34906,<=50K.
34907,>50K.
34908,<=50K.
34909,>50K.
34910,>50K.
34911,>50K.
34912,<=50K.
34913,<=50K.
34914,<=50K.
34915,>50K.
34916,<=50K.
34917,<=50K.
34918,>50K.
34919,<=50K.
34920,<=50K.
34921,>50K.
34922,<=50K.
34923,<=50K.
34924,>50K.
34925,<=50K.
34926,>50K.
34927,<=50K.
34928,>50K.
34929,<=50K.
34930,<=50K.
34931,<=50K.
34932,<=50K.
34933,<=50K.
34934,<=50K.
34935,<=50K.
34936,>50K.
34937,<=50K.
34938,<=50K.
34939,>50K.
34940,<=50K.
34941,<=50K.
34942,<=50K.
34943,>50K.
34944,<=50K.
34945,<=50K.
34946,>50K.
34947,<=50K.
34948,<=50K.
34949,>50K.
34950,>50K.
34951,<=50K.
34952,>50K.
34953,<=50K.
34954,<=50K.
34955,>50K.
34956,<=50K.
34957,<=50K.
34958,>50K.
34959,<=50K.
34960,>50K.
34961,<=50K.
34962,<=50K.
34963,<=50K.
34964,>50K.
34965,>50K.
34966,>50K.
34967,<=50K.
34968,<=50K.
34969,<=50K.
34970,>50K.
34971,<=50K.
34972,<=50K.
34973,>50K.
34974,<=50K.
34975,<=50K.
34976,<=50K.
34977,<=50K.
34978,<=50K.
34979,<=50K.
34980,<=50K.
34981,<=50K.
34982,>50K.
34983,<=50K.
34984,>50K.
34985,>50K.
34986,>50K.
34987,<=50K.
34988,<=50K.
34989,>50K.
34990,<=50K.
34991,<=50K.
34992,<=50K.
34993,>50K.
34994,<=50K.
34995,>50K.
34996,<=50K.
34997,>50K.
34998,<=50K.
34999,<=50K.
35000,>50K.
35001,<=50K.
35002,<=50K.
35003,<=50K.
35004,>50K.
35005,>50K.
35006,<=50K.
35007,>50K.
35008,<=50K.
35009,<=50K.
35010,<=50K.
35011,<=50K.
35012,<=50K.
35013,>50K.
35014,>50K.
35015,>50K.
35016,<=50K.
35017,<=50K.
35018,<=50K.
35019,<=50K.
35020,>50K.
35021,>50K.
35022,>50K.
35023,>50K.
35024,>50K.
35025,<=50K.
35026,<=50K.
35027,>50K.
35028,<=50K.
35029,<=50K.
35030,<=50K.
35031,<=50K.
35032,<=50K.
35033,<=50K.
35034,<=50K.
35035,<=50K.
35036,<=50K.
35037,>50K.
35038,<=50K.
35039,<=50K.
35040,<=50K.
35041,<=50K.
35042,<=50K.
35043,>50K.
35044,<=50K.
35045,<=50K.
35046,<=50K.
35047,<=50K.
35048,<=50K.
35049,<=50K.
35050,>50K.
35051,<=50K.
35052,<=50K.
35053,<=50K.
35054,<=50K.
35055,<=50K.
35056,<=50K.
35057,<=50K.
35058,<=50K.
35059,<=50K.
35060,<=50K.
35061,<=50K.
35062,>50K.
35063,<=50K.
35064,<=50K.
35065,<=50K.
35066,>50K.
35067,<=50K.
35068,<=50K.
35069,<=50K.
35070,>50K.
35071,>50K.
35072,<=50K.
35073,>50K.
35074,>50K.
35075,<=50K.
35076,<=50K.
35077,>50K.
35078,<=50K.
35079,<=50K.
35080,>50K.
35081,<=50K.
35082,<=50K.
35083,>50K.
35084,<=50K.
35085,<=50K.
35086,<=50K.
35087,<=50K.
35088,<=50K.
35089,<=50K.
35090,<=50K.
35091,<=50K.
35092,<=50K.
35093,<=50K.
35094,<=50K.
35095,<=50K.
35096,<=50K.
35097,>50K.
35098,<=50K.
35099,<=50K.
35100,<=50K.
35101,<=50K.
35102,<=50K.
35103,<=50K.
35104,<=50K.
35105,<=50K.
35106,<=50K.
35107,<=50K.
35108,<=50K.
35109,>50K.
35110,<=50K.
35111,>50K.
35112,<=50K.
35113,<=50K.
35114,<=50K.
35115,>50K.
35116,<=50K.
35117,>50K.
35118,>50K.
35119,>50K.
35120,<=50K.
35121,<=50K.
35122,<=50K.
35123,<=50K.
35124,>50K.
35125,>50K.
35126,<=50K.
35127,>50K.
35128,<=50K.
35129,<=50K.
35130,<=50K.
35131,<=50K.
35132,<=50K.
35133,<=50K.
35134,<=50K.
35135,<=50K.
35136,<=50K.
35137,<=50K.
35138,<=50K.
35139,<=50K.
35140,>50K.
35141,<=50K.
35142,<=50K.
35143,<=50K.
35144,<=50K.
35145,<=50K.
35146,<=50K.
35147,<=50K.
35148,<=50K.
35149,<=50K.
35150,<=50K.
35151,>50K.
35152,<=50K.
35153,<=50K.
35154,<=50K.
35155,<=50K.
35156,<=50K.
35157,<=50K.
35158,<=50K.
35159,<=50K.
35160,<=50K.
35161,<=50K.
35162,<=50K.
35163,<=50K.
35164,>50K.
35165,<=50K.
35166,>50K.
35167,>50K.
35168,>50K.
35169,<=50K.
35170,<=50K.
35171,>50K.
35172,>50K.
35173,<=50K.
35174,>50K.
35175,>50K.
35176,<=50K.
35177,<=50K.
35178,<=50K.
35179,>50K.
35180,>50K.
35181,>50K.
35182,<=50K.
35183,<=50K.
35184,<=50K.
35185,>50K.
35186,<=50K.
35187,<=50K.
35188,<=50K.
35189,<=50K.
35190,<=50K.
35191,>50K.
35192,<=50K.
35193,>50K.
35194,<=50K.
35195,<=50K.
35196,<=50K.
35197,<=50K.
35198,<=50K.
35199,<=50K.
35200,>50K.
35201,<=50K.
35202,<=50K.
35203,<=50K.
35204,<=50K.
35205,<=50K.
35206,<=50K.
35207,>50K.
35208,<=50K.
35209,<=50K.
35210,<=50K.
35211,>50K.
35212,<=50K.
35213,>50K.
35214,>50K.
35215,>50K.
35216,<=50K.
35217,>50K.
35218,<=50K.
35219,>50K.
35220,<=50K.
35221,<=50K.
35222,<=50K.
35223,<=50K.
35224,<=50K.
35225,>50K.
35226,<=50K.
35227,<=50K.
35228,<=50K.
35229,<=50K.
35230,<=50K.
35231,<=50K.
35232,>50K.
35233,>50K.
35234,<=50K.
35235,<=50K.
35236,<=50K.
35237,>50K.
35238,<=50K.
35239,<=50K.
35240,<=50K.
35241,>50K.
35242,<=50K.
35243,<=50K.
35244,>50K.
35245,<=50K.
35246,<=50K.
35247,<=50K.
35248,>50K.
35249,<=50K.
35250,<=50K.
35251,<=50K.
35252,>50K.
35253,<=50K.
35254,>50K.
35255,<=50K.
35256,<=50K.
35257,<=50K.
35258,>50K.
35259,<=50K.
35260,>50K.
35261,<=50K.
35262,<=50K.
35263,<=50K.
35264,>50K.
35265,<=50K.
35266,>50K.
35267,<=50K.
35268,>50K.
35269,>50K.
35270,<=50K.
35271,<=50K.
35272,>50K.
35273,<=50K.
35274,<=50K.
35275,<=50K.
35276,<=50K.
35277,>50K.
35278,<=50K.
35279,<=50K.
35280,<=50K.
35281,<=50K.
35282,<=50K.
35283,>50K.
35284,<=50K.
35285,<=50K.
35286,<=50K.
35287,<=50K.
35288,<=50K.
35289,<=50K.
35290,>50K.
35291,<=50K.
35292,<=50K.
35293,>50K.
35294,<=50K.
35295,<=50K.
35296,<=50K.
35297,<=50K.
35298,<=50K.
35299,<=50K.
35300,<=50K.
35301,>50K.
35302,>50K.
35303,<=50K.
35304,<=50K.
35305,<=50K.
35306,<=50K.
35307,<=50K.
35308,<=50K.
35309,<=50K.
35310,<=50K.
35311,<=50K.
35312,<=50K.
35313,<=50K.
35314,<=50K.
35315,<=50K.
35316,<=50K.
35317,<=50K.
35318,<=50K.
35319,>50K.
35320,<=50K.
35321,>50K.
35322,<=50K.
35323,<=50K.
35324,<=50K.
35325,>50K.
35326,<=50K.
35327,<=50K.
35328,<=50K.
35329,>50K.
35330,<=50K.
35331,<=50K.
35332,<=50K.
35333,<=50K.
35334,<=50K.
35335,<=50K.
35336,<=50K.
35337,<=50K.
35338,>50K.
35339,<=50K.
35340,>50K.
35341,<=50K.
35342,>50K.
35343,<=50K.
35344,<=50K.
35345,<=50K.
35346,<=50K.
35347,>50K.
35348,<=50K.
35349,<=50K.
35350,<=50K.
35351,<=50K.
35352,>50K.
35353,<=50K.
35354,<=50K.
35355,<=50K.
35356,>50K.
35357,<=50K.
35358,<=50K.
35359,<=50K.
35360,<=50K.
35361,<=50K.
35362,<=50K.
35363,<=50K.
35364,>50K.
35365,>50K.
35366,>50K.
35367,<=50K.
35368,<=50K.
35369,<=50K.
35370,<=50K.
35371,<=50K.
35372,<=50K.
35373,>50K.
35374,<=50K.
35375,<=50K.
35376,<=50K.
35377,>50K.
35378,<=50K.
35379,<=50K.
35380,<=50K.
35381,<=50K.
35382,<=50K.
35383,<=50K.
35384,>50K.
35385,<=50K.
35386,<=50K.
35387,>50K.
35388,<=50K.
35389,<=50K.
35390,<=50K.
35391,<=50K.
35392,<=50K.
35393,<=50K.
35394,<=50K.
35395,>50K.
35396,<=50K.
35397,<=50K.
35398,>50K.
35399,<=50K.
35400,<=50K.
35401,<=50K.
35402,<=50K.
35403,<=50K.
35404,>50K.
35405,<=50K.
35406,>50K.
35407,<=50K.
35408,<=50K.
35409,<=50K.
35410,<=50K.
35411,<=50K.
35412,<=50K.
35413,>50K.
35414,>50K.
35415,<=50K.
35416,<=50K.
35417,<=50K.
35418,<=50K.
35419,<=50K.
35420,<=50K.
35421,<=50K.
35422,<=50K.
35423,>50K.
35424,<=50K.
35425,<=50K.
35426,>50K.
35427,<=50K.
35428,<=50K.
35429,<=50K.
35430,<=50K.
35431,<=50K.
35432,>50K.
35433,<=50K.
35434,<=50K.
35435,<=50K.
35436,>50K.
35437,<=50K.
35438,>50K.
35439,<=50K.
35440,<=50K.
35441,>50K.
35442,<=50K.
35443,<=50K.
35444,<=50K.
35445,<=50K.
35446,>50K.
35447,<=50K.
35448,<=50K.
35449,>50K.
35450,<=50K.
35451,<=50K.
35452,<=50K.
35453,<=50K.
35454,<=50K.
35455,<=50K.
35456,<=50K.
35457,>50K.
35458,<=50K.
35459,>50K.
35460,<=50K.
35461,<=50K.
35462,<=50K.
35463,<=50K.
35464,<=50K.
35465,<=50K.
35466,<=50K.
35467,<=50K.
35468,<=50K.
35469,<=50K.
35470,>50K.
35471,<=50K.
35472,>50K.
35473,<=50K.
35474,<=50K.
35475,<=50K.
35476,<=50K.
35477,<=50K.
35478,>50K.
35479,>50K.
35480,>50K.
35481,<=50K.
35482,<=50K.
35483,<=50K.
35484,<=50K.
35485,>50K.
